67,[GUESS fhdeicbg],
34,[NOUN bia],
61,[DREAM dbfhjca],
46,[AMONG bihejacf],
75,[AMONG gihcjdb],
52,[GUESS iadchef],
42,[CUT h],
60,[ABOVE fic],
42,[HUGE egcbd],
12,[MOUNT g],
12,[CHILDREN cgfh],
30,[HUGE bda],
3,[AMONG jecfaih],
16,[GUESS gjichedfab],
3,[HUGE fhibejgd],
83,[GUESS jaef],
42,[DREAM ieacjd],
59,[AMONG hdgb],
76,[AMONG fgehc],
2,[ABOVE bgj],
10,[CUT bgfdah],
59,[DREAM cjgheifdab],
37,[CHILDREN d],
89,[DREAM djhe],
82,[GUESS d],
52,[CUT jc],
5,[DREAM aji],
29,[YES biahdjegc],
17,[HUGE bgehcfia],
32,[NOUN heacfb],
43,[CUT h],
35,[AMONG jciefdhagb],
41,[NOUN fi],
14,[NOUN idjb],
21,[YES bih],
14,[CHILDREN efijhcdg],
65,[ABOVE hdf],
66,[HUGE achiejd],
12,[GUESS hfiaecbd],
18,[GUESS ajhdefbgci],
31,[HUGE fbhcd],
63,[GUESS ajbi],
7,[YES idhjfcab],
58,[AMONG afbi],
44,[HUGE hebjdfi],
9,[NOUN da],
12,[HUGE jaeh],
3,[AMONG ibhfej],
67,[YES bjgdifaech],
59,[YES ji],
61,[ABOVE dfcagie],
10,[AMONG gbdace],
20,[CHILDREN gf],
47,[NOUN hjf],
27,[ABOVE hdgce],
39,[DREAM jcib],
84,[MOUNT b],
82,[MOUNT e],
25,[DREAM icgdfeahjb],
34,[CUT igjfadh],
0,[GUESS eai],
11,[DREAM fdhi],
11,[YES dbfgicje],
82,[GUESS cejfagbi],
76,[AMONG agced],
31,[DREAM acifbjdeg],
21,[MOUNT g],
38,[YES bhgjafde],
16,[AMONG dbi],
12,[AMONG hgjc],
22,[ABOVE hcdg],
25,[ABOVE bcjiegd],
22,[YES iab],
35,[YES dgebhj],
73,[AMONG gdahe],
74,[CHILDREN igjah],
15,[HUGE ijdbegchf],
30,[DREAM cfdjbeh],
48,[YES efd],
22,[NOUN aefd],
68,[MOUNT icdefg],
65,[NOUN hejdbgcafi],
61,[CHILDREN dghb],
20,[CHILDREN eabihdgf],
80,[CUT chgid],
25,[GUESS fehg],
55,[ABOVE aje],
17,[YES dh],
55,[GUESS hadjgi],
28,[GUESS jebcdhifag],
25,[AMONG a],
21,[ABOVE ibfj],
43,[NOUN difjgcebha],
83,[NOUN cbdhgjiae],
79,[MOUNT cehjdbaf],
12,[HUGE higbdc],
28,[NOUN bdhjag],
51,[AMONG eidjfbachg],
22,[MOUNT ejdcgh],
81,[GUESS deghijbf],
